date,close
1/1/2010,0.087158768
1/6/2010,0.087686264
1/11/2010,0.088553764
1/16/2010,0.089378761
1/21/2010,0.090040009
1/26/2010,0.091521271
1/31/2010,0.092798767
2/5/2010,0.09498877
2/10/2010,0.095992523
2/15/2010,0.101530014
2/20/2010,0.100902512
2/25/2010,0.095377518
3/2/2010,0.092733765
3/7/2010,0.092017517
3/12/2010,0.091607513
3/17/2010,0.091091263
3/22/2010,0.090858765
3/27/2010,0.090152512
4/1/2010,0.089717514
4/6/2010,0.090057518
4/11/2010,0.090178757
4/16/2010,0.090538773
4/21/2010,0.090808762
4/26/2010,0.091293762
5/1/2010,0.091217514
5/6/2010,0.09053627
5/11/2010,0.090701263
5/16/2010,0.090831268
5/21/2010,0.091012512
5/26/2010,0.091243767
5/31/2010,0.091306274
6/5/2010,0.091497513
6/10/2010,0.091948761
6/15/2010,0.092248764
6/20/2010,0.092720016
6/25/2010,0.094121262
6/30/2010,0.096017517
7/5/2010,0.097110016
7/10/2010,0.096881271
7/15/2010,0.09365876
7/20/2010,0.090802513
7/25/2010,0.08956752
7/30/2010,0.089180016
8/4/2010,0.088776268
8/9/2010,0.088198761
8/14/2010,0.088055008
8/19/2010,0.087340012
8/24/2010,0.085707512
8/29/2010,0.085878761
9/3/2010,0.086951263
9/8/2010,0.087376259
9/13/2010,0.08664502
9/18/2010,0.087440018
9/23/2010,0.086905014
9/28/2010,0.086542511
10/3/2010,0.085676262
10/8/2010,0.085900009
10/13/2010,0.085550011
10/18/2010,0.08532251
10/23/2010,0.085590012
10/28/2010,0.086142509
11/2/2010,0.085926254
11/7/2010,0.085490005
11/12/2010,0.086323761
11/17/2010,0.08640876
11/22/2010,0.085801262
11/27/2010,0.08515126
12/2/2010,0.084667503
12/7/2010,0.084646255
12/12/2010,0.084653763
12/17/2010,0.08475
12/22/2010,0.084737503
1/1/2011,0.085536255
1/6/2011,0.086175011
1/11/2011,0.087525009
1/16/2011,0.088286263
1/21/2011,0.089055016
1/26/2011,0.089647514
1/31/2011,0.089920013
2/5/2011,0.090138771
2/10/2011,0.090897522
2/15/2011,0.091193771
2/20/2011,0.092100014
2/25/2011,0.092561264
3/2/2011,0.09419252
3/7/2011,0.09538501
3/12/2011,0.095700012
3/17/2011,0.096042511
3/22/2011,0.096952515
3/27/2011,0.094508766
4/1/2011,0.093793762
4/6/2011,0.093330017
4/11/2011,0.094242516
4/16/2011,0.093640015
4/21/2011,0.093807518
4/26/2011,0.09440126
